sample_accession	run_accession	aws_url
SAMD00108863	DRR122544	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108863.fa.gz
SAMD00108864	DRR122545	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108864.fa.gz
SAMD00108865	DRR122546	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108865.fa.gz
SAMD00108866	DRR122547	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108866.fa.gz
SAMD00108867	DRR122548	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108867.fa.gz
SAMD00108868	DRR122549	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108868.fa.gz
SAMD00108870	DRR122551	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108870.fa.gz
SAMD00108871	DRR122552	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108871.fa.gz
SAMD00108872	DRR122553	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108872.fa.gz
SAMD00108874	DRR122555	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108874.fa.gz
SAMD00108875	DRR122556	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108875.fa.gz
SAMD00108877	DRR122558	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108877.fa.gz
SAMD00108878	DRR197038	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108878.fa.gz
SAMD00108879	DRR122559	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108879.fa.gz
SAMD00108880	DRR122560	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108880.fa.gz
SAMD00108881	DRR122561	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108881.fa.gz
SAMD00108882	DRR122562	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108882.fa.gz
SAMD00108884	DRR122564	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108884.fa.gz
SAMD00108886	DRR122566	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108886.fa.gz
SAMD00108887	DRR122567	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108887.fa.gz
SAMD00108888	DRR122568	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108888.fa.gz
SAMD00108890	DRR122570	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108890.fa.gz
SAMD00110856	DRR121780	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110856.fa.gz
SAMD00110859	DRR121791	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110859.fa.gz
SAMD00110860	DRR121794	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110860.fa.gz
SAMD00110862	DRR121796	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110862.fa.gz
SAMD00110863	DRR121797	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110863.fa.gz
SAMD00110864	DRR121798	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110864.fa.gz
SAMD00110865	DRR121799	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110865.fa.gz
SAMD00110866	DRR121806	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110866.fa.gz
SAMD00110867	DRR121811	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110867.fa.gz
SAMD00110868	DRR121812	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110868.fa.gz
SAMD00110869	DRR121813	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110869.fa.gz
SAMD00110870	DRR121814	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110870.fa.gz
SAMD00110871	DRR121815	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110871.fa.gz
SAMD00110872	DRR121816	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110872.fa.gz
SAMD00110873	DRR121817	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110873.fa.gz
SAMD00110874	DRR121818	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110874.fa.gz
SAMD00110875	DRR121819	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00110875.fa.gz
